UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Group,groupDesc,This is the brief description of the group.,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
Group,updateDate,The date when the group information was updated,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
Group,updateDate,The date when the group information was updated,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
Privilege,Privilege,"This class is used to define the operations and different access levels which can be associated with a user. e.g. ""Create"", ""Read"", ""Update"", ""Delete"" etc..",User_Privilege,User Privilege,ObjectClass,C42722,"The operations and access levels which are allowed to a user (e.g Create, Read, Update, Delete).",NCI,,1
Privilege,name,This is the name of the privilege.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
Privilege,desc,It gives the brief description about the privilege.,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
Privilege,id,It is the unique id by for this privilege.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Privilege,updateDate,,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
Privilege,updateDate,,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
Role,Role,This class defines the security role object in context of an application. The roles are collection of privileges.,Security_Role_Object,Security Role Object,ObjectClass,C42768,This class defines the security role object in context of an application. The roles are collection of privileges.,NCICB,,1
Role,name,This is the name of the role. This can be any user friendly name to address business needs.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
Role,desc,This attribute describes the role in detail.,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
Role,id,This is the unique id by which this role can be identified  for an application.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Role,active_flag,Indicates if the role is active or not.,Active_Flag,Active Flag,Property,C42612,An indication of whether the item in question is an active item.,NCI,,1
Role,updateDate,The date when the role information was last updated,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
Role,updateDate,The date when the role information was last updated,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
ProtectionGroup,ProtectionGroup,This class represents a Protection Group. It is nothing but a collection of protection elements. A user or a user-group can assume various roles on a protection group ,Protection_Group,Protection Group,ObjectClass,C42706,This class represents a Protection Group. It is nothing but a collection of protection elements. A user or a user-group can assume various roles on a protection group .,NCICB,,1
ProtectionGroup,protectionGroupId,The unique ID by which it is identified in an application,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
ProtectionGroup,protectionGroupName,It is the name of the protection element ,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
ProtectionGroup,protectionGroupDescription,The brief description of the protection group.,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
ProtectionGroup,updateDate,The date when the protection group was last updated,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
ProtectionGroup,updateDate,The date when the protection group was last updated,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
ProtectionGroup,largeElementCountFlag,The flag indicating whether the protection group has large number of protection elements or not,Large_Element_Count_Flag ,Large Element Count Flag,Property,C42691,A flag indicating whether the protection group has a large number of protection elements.,NCI,,1
ProtectionElement,ProtectionElement,A ProtectionElement is a any resource that is a candidate for to be protected. This way the access to different part of the data can be restricted.,Protection_Element,Protection Element,ObjectClass,C42724,A Protection Element is a any resource that is a candidate for to be protected. This way the access to different part of the data can be restricted.,NCICB,,1
ProtectionElement,protectionElementId,It is the unique id by which it is identified in an application.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
ProtectionElement,protectionElementName,It is the name of the protection element,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
ProtectionElement,objectId,It is the attribute of the object which is to be protected. It along with the attribute forms the unique key which can identify the protection element,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
ProtectionElement,objectId,It is the attribute of the object which is to be protected. It along with the attribute forms the unique key which can identify the protection element,Object_Class,Object Class,PropertyQualifier1,C41106,"A set of ideas, abstractions, or things in the real world that can be identified with explicit boundaries and meaning and whose properties and behavior follow the same rules. (caBIO)",NCICB,,1
ProtectionElement,attribute,It is the attribute of the object which is to be protected. It along with the object id forms the unique key which can identify the protection element,Protection_Element_Attribute,Protection Element Attribute,Property,C42616,It is the attribute of the object which is to be protected. It along with the object id forms the unique key which can identify the protection element,NCICB,,1
ProtectionElement,protectionElementDescription,A brief description of the protection element,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
ProtectionElement,updateDate,The date when the data for the protection element was updated,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
ProtectionElement,updateDate,The date when the data for the protection element was updated,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
GroupRoleContext,GroupRoleContext,It is class which hold the roles which are assumed by a particular group in context of a protection group.,Group_Role_Context,Group Role Context,ObjectClass,C42686,It is the class which hold the roles which are assumed by a particular group in the context of a protection group.,NCICB,,1
UserRoleContext,UserRoleContext,It is class which hold the roles which are assumed by a particular group in context of a protection group.,User,User,ObjectClass,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment. (from http://www.computeruser.com/resources/dictionary/index.html)",NCI,,1
ProtectionGroupRoleContext,ProtectionGroupRoleContext,This class established the relationship between protection group and roles and becomes a member for a user and a group.,Protection_Group_Role_Context,Protection Group Role Context,ObjectClass,C42725,This class establishes the relationship between protection group and roles and becomes a member for a user and a group.,NCICB,,1
Application,Application,@created 17-Nov-2004 3:19:57 PM ,Computer_Application,Computer Application,ObjectClass,C42608,A program that gives a computer instructions that provide the user with tools to accomplish a task.,NCI,,1
Application,applicationDescription,The brief description of the application,Description,Description,Property,C25365,A statement or an account describing something.,NCI,,1
Application,applicationId,,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Application,applicationDeclarativeFlag,,Declarative_Flag,Declarative Flag,Property,C42649,An indication of whether an application uses declarative security.,NCI,,1
Application,applicationActiveFlag,,Active_Flag,Active Flag,Property,C42612,An indication of whether the item in question is an active item.,NCI,,1
Application,updateDate,The date when the data for this application was last modified,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
Application,updateDate,The date when the data for this application was last modified,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
UserProtectionElement,UserProtectionElement,,Protection_Element,Protection Element,ObjectClass,C42724,A Protection Element is a any resource that is a candidate for to be protected. This way the access to different part of the data can be restricted.,NCICB,,1
UserProtectionElement,userProtectionElementId,,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
UserProtectionElement,updateDate,,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
UserProtectionElement,updateDate,,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
UserProtectionElement,protectionElement,,Protection_Element,Protection Element,Property,C42724,A Protection Element is a any resource that is a candidate for to be protected. This way the access to different part of the data can be restricted. (NCICB),NCICB,,1
UserProtectionElement,user,,User,User,Property,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment. (from http://www.computeruser.com/resources/dictionary/index.html)",NCI,,1
